일시,광역자치단체,최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),환자수,연도,월
2021-07-17 00:00:00,광주광역시,32.7,31.6,26.2,21.5,82.1,1,2021,7
2021-07-17 00:00:00,대전광역시,33.3,32.1,27.1,23.1,81.1,0,2021,7
2021-07-17 00:00:00,울산광역시,30.3,28.7,25.5,23.5,85.9,1,2021,7
2021-07-17 00:00:00,세종특별자치시,32.3,32,26.5,22.2,72.1,0,2021,7
2021-07-17 00:00:00,경기도,32.89,32.54,26.93,22.2,74.54,4,2021,7
2021-07-17 00:00:00,강원도,31.61,30.42,25.26,21.06,81.03,0,2021,7
2021-07-17 00:00:00,충청북도,31.66,30.79,25.84,21.06,76.83,0,2021,7
2021-07-17 00:00:00,충청남도,32.65,31.97,25.61,21.45,82.39,1,2021,7
2021-07-17 00:00:00,전라북도,32.04,31.22,25.16,20.7,82.48,0,2021,7
2021-07-17 00:00:00,전라남도,32.03,30.63,25.71,21.77,83.19,1,2021,7
2021-07-17 00:00:00,경상북도,31.14,29.78,25.46,22.12,80.79,0,2021,7
2021-07-17 00:00:00,경상남도,31.76,30.21,25.47,22.02,82.53,0,2021,7
2021-07-17 00:00:00,제주특별자치도,31.7,30.7,26.9,25,79.8,0,2021,7
2021-07-18 00:00:00,서울특별시,33.9,34.1,29.6,25.7,62.5,2,2021,7
2021-07-18 00:00:00,부산광역시,30.9,29,26.3,24.3,78.9,0,2021,7
2021-07-18 00:00:00,대구광역시,32.6,31.9,26.5,22.1,74.5,1,2021,7
2021-07-18 00:00:00,인천광역시,31.4,31.3,28.1,25.3,59,0,2021,7
2021-07-18 00:00:00,광주광역시,33,32.1,27.3,23.4,77.8,1,2021,7
2021-07-18 00:00:00,대전광역시,33.7,32.5,27.3,23.6,79.1,0,2021,7
2021-07-18 00:00:00,울산광역시,31.9,30.1,26.2,23.1,84.4,0,2021,7
2021-07-18 00:00:00,세종특별자치시,32.8,32.5,26.2,22.8,75.3,0,2021,7
2021-07-18 00:00:00,경기도,33.11,33.2,27.79,22.84,70.38,2,2021,7
2021-07-18 00:00:00,강원도,32.49,31.73,26.18,21.58,78.85,2,2021,7
2021-07-18 00:00:00,충청북도,32.56,32.29,26.21,21.35,76.44,2,2021,7
